old,new,note
phase-one,roadmap/validate,phase hub becomes roadmap stage view
phase-two,roadmap/build,phase hub becomes roadmap stage view
phase-three,roadmap/grow,phase hub becomes roadmap stage view
phase-four,roadmap/scale,phase hub becomes roadmap stage view
idea-validation,validation,written guide becomes /validation hub index
ecosystem-overview,ecosystem,written guide becomes /ecosystem hub index
funding-roadmap,funding,written guide becomes /funding hub index
phase-one/how-to-find-startup-ideas-in-bangladesh,ideas/finding-ideas,
phase-one/ideation-and-problem-validation-in-the-bangladeshi-market,ideas/ideation-basics,
phase-one/copied-ideas-vs-localized-ideas,ideas/copy-vs-localize,
phase-one/common-opportunity-sectors-fintech-agritech-edtech-healthtech-logistics-e-commerce,ideas/opportunity-sectors,
phase-one/turning-a-problem-list-into-a-business-opportunity,ideas/problem-to-opportunity,
phase-one/problem-validation-checklist,ideas/problem-validation-checklist,
phase-one/problem-ranking-scorecard,ideas/problem-ranking-scorecard,
phase-one/b2c-vs-b2b-vs-b2b2c-in-bangladesh,ideas/b2c-vs-b2b,
phase-one/export-oriented-saas-from-bangladesh,ideas/export-saas,
phase-one/understanding-demographics-internet-penetration-mobile-first-behavior-urban-vs-rural-dynamics,ideas/market-demographics,
phase-one/market-research-checklist-for-bangladesh,ideas/market-research-checklist,
phase-one/how-to-size-a-market-in-bangladesh,ideas/market-sizing,
phase-one/simple-tamsamsom-sizing-for-bangladesh,ideas/tam-sam-som,
phase-one/where-to-find-bangladesh-market-data-bbs-world-bank-bida-sector-reports,ideas/market-data-sources,
phase-one/using-bbs-btrc-world-bank-and-datareportal-for-market-research,ideas/using-market-data,
phase-one/how-to-cite-bangladesh-market-data-cleanly,ideas/citing-market-data,
phase-one/competitor-map-online-offline-and-informal-competitors,ideas/competitor-map,
phase-one/using-facebook-ad-library-for-market-and-competitor-research,ideas/facebook-ad-library,
phase-one/rural-vs-urban-customer-adoption-differences,ideas/rural-vs-urban,
phase-one/choosing-launch-cities-dhaka-chattogram-sylhet-rajshahi-khulna,ideas/launch-cities,
phase-one/customer-discovery-interviews-in-bangladesh,validation/customer-interviews,
phase-one/why-interviews-beat-surveys-in-bangladesh,validation/interviews-vs-surveys,
phase-one/customer-interview-scripts-in-bangla-and-english,validation/interview-scripts,
phase-one/how-to-build-bangladeshi-consumer-personas,validation/consumer-personas,
phase-one/collecting-customer-language-for-bangla-copywriting,validation/customer-language,
phase-one/field-research-plan-markets-shops-and-neighborhoods,validation/field-research-plan,
phase-one/field-notes-template-for-shops-markets-and-neighborhoods,validation/field-notes-template,
phase-one/how-to-validate-customers-outside-dhaka,validation/outside-dhaka,
